framework,version,object,description,text
DoDAF,2.02,AV-1 Overview and Summary Information,"Narrative that scopes the architecture effort, identifies stakeholders, and records context and assumptions for decision makers.","DoDAF 2.02 | AV-1 Overview and Summary Information - Narrative that scopes the architecture effort, identifies stakeholders, and records context and assumptions for decision makers."
DoDAF,2.02,AV-2 Integrated Dictionary,"Authoritative glossary aligning all data elements, acronyms, and semantic relationships used throughout the architecture views.","DoDAF 2.02 | AV-2 Integrated Dictionary - Authoritative glossary aligning all data elements, acronyms, and semantic relationships used throughout the architecture views."
DoDAF,2.02,CV-1 Vision,High-level operational problem statement and desired end-state that motivates capability development.,DoDAF 2.02 | CV-1 Vision - High-level operational problem statement and desired end-state that motivates capability development.
DoDAF,2.02,CV-2 Capability Taxonomy,Decomposes enterprise capabilities into a structured hierarchy showing parent-child relationships.,DoDAF 2.02 | CV-2 Capability Taxonomy - Decomposes enterprise capabilities into a structured hierarchy showing parent-child relationships.
DoDAF,2.02,CV-3 Capability Phasing,Timeline view that sequences capability increments and identifies IOC/FOC targets.,DoDAF 2.02 | CV-3 Capability Phasing - Timeline view that sequences capability increments and identifies IOC/FOC targets.
DoDAF,2.02,CV-4 Capability Dependencies,Matrix that highlights prerequisite or complementary relationships between capabilities.,DoDAF 2.02 | CV-4 Capability Dependencies - Matrix that highlights prerequisite or complementary relationships between capabilities.
DoDAF,2.02,CV-5 Capability to Organizational Development Mapping,Shows which organizations are responsible for delivering specific capability development activities.,DoDAF 2.02 | CV-5 Capability to Organizational Development Mapping - Shows which organizations are responsible for delivering specific capability development activities.
DoDAF,2.02,CV-6 Capability to Operational Activities Mapping,Links operational activities to the capabilities that enable or improve them to reveal coverage gaps.,DoDAF 2.02 | CV-6 Capability to Operational Activities Mapping - Links operational activities to the capabilities that enable or improve them to reveal coverage gaps.
DoDAF,2.02,OV-1 High-Level Operational Concept Graphic,"Infographic that communicates the mission context, key stakeholders, and high-level operational threads.","DoDAF 2.02 | OV-1 High-Level Operational Concept Graphic - Infographic that communicates the mission context, key stakeholders, and high-level operational threads."
DoDAF,2.02,OV-2 Operational Resource Flow Description,"Shows operational nodes and the information, materiel, or energy flows exchanged between them.","DoDAF 2.02 | OV-2 Operational Resource Flow Description - Shows operational nodes and the information, materiel, or energy flows exchanged between them."
DoDAF,2.02,OV-3 Operational Resource Flow Matrix,"Tabular detail for each OV-2 exchange, including triggering events, performance measures, and security needs.","DoDAF 2.02 | OV-3 Operational Resource Flow Matrix - Tabular detail for each OV-2 exchange, including triggering events, performance measures, and security needs."
DoDAF,2.02,OV-4 Organizational Relationships Chart,"Command, control, and coordination relationships among organizations, roles, or mission partners.","DoDAF 2.02 | OV-4 Organizational Relationships Chart - Command, control, and coordination relationships among organizations, roles, or mission partners."
DoDAF,2.02,OV-5a Operational Activity Decomposition Tree,Hierarchical breakdown of operational activities that exposes scope boundaries and reusable tasks.,DoDAF 2.02 | OV-5a Operational Activity Decomposition Tree - Hierarchical breakdown of operational activities that exposes scope boundaries and reusable tasks.
DoDAF,2.02,OV-5b Operational Activity Model,"Swimlane-style model describing activity inputs, outputs, sequencing, and responsible performers.","DoDAF 2.02 | OV-5b Operational Activity Model - Swimlane-style model describing activity inputs, outputs, sequencing, and responsible performers."
DoDAF,2.02,OV-6a Operational Rules Model,Business rules and constraints that govern how operational activities must execute.,DoDAF 2.02 | OV-6a Operational Rules Model - Business rules and constraints that govern how operational activities must execute.
DoDAF,2.02,OV-6b Operational State Transition Description,Depicts states of an operational node and the events that trigger transitions between states.,DoDAF 2.02 | OV-6b Operational State Transition Description - Depicts states of an operational node and the events that trigger transitions between states.
DoDAF,2.02,OV-6c Event-Trace Description,Sequence diagram that traces events across operational nodes to validate timing and interactions.,DoDAF 2.02 | OV-6c Event-Trace Description - Sequence diagram that traces events across operational nodes to validate timing and interactions.
DoDAF,2.02,SV-1 Systems Interface Description,"Graph of systems, their components, and the interfaces needed to satisfy operational exchanges.","DoDAF 2.02 | SV-1 Systems Interface Description - Graph of systems, their components, and the interfaces needed to satisfy operational exchanges."
DoDAF,2.02,SV-2 Systems Resource Flow Description,"Details resource flows between system ports, including protocols, media, and performance constraints.","DoDAF 2.02 | SV-2 Systems Resource Flow Description - Details resource flows between system ports, including protocols, media, and performance constraints."
DoDAF,2.02,SV-4a Systems Functionality Description,"Displays system functions, their inputs/outputs, and allocations to components.","DoDAF 2.02 | SV-4a Systems Functionality Description - Displays system functions, their inputs/outputs, and allocations to components."
DoDAF,2.02,SV-5a Operational Activity to System Function Traceability,Matrix proving that every operational activity is supported by specific system functions.,DoDAF 2.02 | SV-5a Operational Activity to System Function Traceability - Matrix proving that every operational activity is supported by specific system functions.
DoDAF,2.02,SV-8 Systems Evolution Description,Roadmap showing planned technology insertions and configuration baselines across time.,DoDAF 2.02 | SV-8 Systems Evolution Description - Roadmap showing planned technology insertions and configuration baselines across time.
DoDAF,2.02,SV-9 Systems Technology & Skills Forecast,Assesses technology trends and workforce skill needs that could impact systems of interest.,DoDAF 2.02 | SV-9 Systems Technology & Skills Forecast - Assesses technology trends and workforce skill needs that could impact systems of interest.
DoDAF,2.02,SV-10c Systems Event-Trace Description,"System-level sequence diagram confirming timing, latency, and protocol compatibility across components.","DoDAF 2.02 | SV-10c Systems Event-Trace Description - System-level sequence diagram confirming timing, latency, and protocol compatibility across components."
DoDAF,2.02,SvcV-1 Services Context Description,"Defines service providers, consumers, and required contracts for mission scenarios.","DoDAF 2.02 | SvcV-1 Services Context Description - Defines service providers, consumers, and required contracts for mission scenarios."
DoDAF,2.02,SvcV-4 Services Functionality Description,"Service functions, the resources they manipulate, and allocation to service components.","DoDAF 2.02 | SvcV-4 Services Functionality Description - Service functions, the resources they manipulate, and allocation to service components."
DoDAF,2.02,SvcV-5 Operational Activity to Services Traceability,Crosswalk that verifies operational activities are fully supported by available or planned services.,DoDAF 2.02 | SvcV-5 Operational Activity to Services Traceability - Crosswalk that verifies operational activities are fully supported by available or planned services.
DoDAF,2.02,StdV-1 Standards Profile,"Lists applicable technical, data, and interface standards with tailoring guidance.","DoDAF 2.02 | StdV-1 Standards Profile - Lists applicable technical, data, and interface standards with tailoring guidance."
DoDAF,2.02,PV-2 Project Timelines,"Integrated master schedule showing key acquisition events, dependencies, and milestone risks.","DoDAF 2.02 | PV-2 Project Timelines - Integrated master schedule showing key acquisition events, dependencies, and milestone risks."
DoDAF,2.02,DIV-2 Logical Data Model,Entity-relationship view that harmonizes operational and system data requirements.,DoDAF 2.02 | DIV-2 Logical Data Model - Entity-relationship view that harmonizes operational and system data requirements.
MODAF,1.2,StV-1 Enterprise Vision,Articulates strategic goals and capability outcomes the UK MOD enterprise pursues.,MODAF 1.2 | StV-1 Enterprise Vision - Articulates strategic goals and capability outcomes the UK MOD enterprise pursues.
MODAF,1.2,StV-2 Capability Taxonomy,Organizes MOD capability concepts into a taxonomy to support force-planning debates.,MODAF 1.2 | StV-2 Capability Taxonomy - Organizes MOD capability concepts into a taxonomy to support force-planning debates.
MODAF,1.2,StV-4 Capability Dependencies,Highlights logical dependency and synergy relationships between capability elements.,MODAF 1.2 | StV-4 Capability Dependencies - Highlights logical dependency and synergy relationships between capability elements.
MODAF,1.2,OpV-1 High-Level Operational Concept,"Contextualizes missions, actors, and high-level operational threads for MOD campaigns.","MODAF 1.2 | OpV-1 High-Level Operational Concept - Contextualizes missions, actors, and high-level operational threads for MOD campaigns."
MODAF,1.2,OpV-5 Operational Activity Model,"Shows MOD operational activities, triggers, and resource flows using BPMN-like notation.","MODAF 1.2 | OpV-5 Operational Activity Model - Shows MOD operational activities, triggers, and resource flows using BPMN-like notation."
MODAF,1.2,SV-1 Resource Structure,"Depicts MOD physical and logical resources, including platforms, systems, and people.","MODAF 1.2 | SV-1 Resource Structure - Depicts MOD physical and logical resources, including platforms, systems, and people."
MODAF,1.2,SV-2 Resource Interaction Specification,"Details interactions between resources, specifying protocols and performance constraints.","MODAF 1.2 | SV-2 Resource Interaction Specification - Details interactions between resources, specifying protocols and performance constraints."
MODAF,1.2,TV-1 Technical Standards Profile,Lists mandated UK MOD and NATO standards required to maintain interoperability.,MODAF 1.2 | TV-1 Technical Standards Profile - Lists mandated UK MOD and NATO standards required to maintain interoperability.
NATO Architecture Framework,v4,Strat-V Strategic Viewpoint,"Defines NATO missions, enterprise goals, and capability investment priorities.","NATO Architecture Framework v4 | Strat-V Strategic Viewpoint - Defines NATO missions, enterprise goals, and capability investment priorities."
NATO Architecture Framework,v4,Cap-V Capability Viewpoint,"Organizes capabilities, taxonomies, and readiness states to guide force planning across nations.","NATO Architecture Framework v4 | Cap-V Capability Viewpoint - Organizes capabilities, taxonomies, and readiness states to guide force planning across nations."
NATO Architecture Framework,v4,Op-V Operational Viewpoint,"Standardizes operational scenarios, performers, and information exchanges for multinational operations.","NATO Architecture Framework v4 | Op-V Operational Viewpoint - Standardizes operational scenarios, performers, and information exchanges for multinational operations."
NATO Architecture Framework,v4,Svc-V Service Viewpoint,"Models service portfolios, service contracts, and quality attributes that support NATO missions.","NATO Architecture Framework v4 | Svc-V Service Viewpoint - Models service portfolios, service contracts, and quality attributes that support NATO missions."
NATO Architecture Framework,v4,Sys-V System Viewpoint,"Describes physical and logical systems, integration patterns, and interface standards for NATO interoperability.","NATO Architecture Framework v4 | Sys-V System Viewpoint - Describes physical and logical systems, integration patterns, and interface standards for NATO interoperability."
NATO Architecture Framework,v4,All-V All Viewpoint,"Captures overarching assumptions, constraints, and taxonomy definitions applicable to every NATO viewpoint.","NATO Architecture Framework v4 | All-V All Viewpoint - Captures overarching assumptions, constraints, and taxonomy definitions applicable to every NATO viewpoint."
UAF,1.2,Strategy Viewpoint,"Aligns enterprise capabilities, desired effects, and measures to strategic drivers.","UAF 1.2 | Strategy Viewpoint - Aligns enterprise capabilities, desired effects, and measures to strategic drivers."
UAF,1.2,Capability Viewpoint,"Provides capability taxonomies, dependency diagrams, and acquisition plans mapped to performers.","UAF 1.2 | Capability Viewpoint - Provides capability taxonomies, dependency diagrams, and acquisition plans mapped to performers."
UAF,1.2,Operational Viewpoint,"Represents operational performers, activities, and exchanges independent of implementation.","UAF 1.2 | Operational Viewpoint - Represents operational performers, activities, and exchanges independent of implementation."
UAF,1.2,Resource Viewpoint,"Models systems, services, personnel, and facilities needed to realize capabilities.","UAF 1.2 | Resource Viewpoint - Models systems, services, personnel, and facilities needed to realize capabilities."
UAF,1.2,Services Viewpoint,"Describes service specifications, contracts, and choreography requirements.","UAF 1.2 | Services Viewpoint - Describes service specifications, contracts, and choreography requirements."
UAF,1.2,Projects Viewpoint,"Captures project portfolios, milestones, and traceability to delivered capabilities.","UAF 1.2 | Projects Viewpoint - Captures project portfolios, milestones, and traceability to delivered capabilities."
TOGAF,10,ADM Phase A: Architecture Vision,"Sets stakeholder expectations, defines scope, and approves the Statement of Architecture Work.","TOGAF 10 | ADM Phase A: Architecture Vision - Sets stakeholder expectations, defines scope, and approves the Statement of Architecture Work."
TOGAF,10,ADM Phase B: Business Architecture,"Develops baseline and target business architectures including organization, processes, and information.","TOGAF 10 | ADM Phase B: Business Architecture - Develops baseline and target business architectures including organization, processes, and information."
TOGAF,10,ADM Phase C: Information Systems Architectures,"Creates data and application architectures showing logical data owners, flows, and application services.","TOGAF 10 | ADM Phase C: Information Systems Architectures - Creates data and application architectures showing logical data owners, flows, and application services."
TOGAF,10,ADM Phase D: Technology Architecture,"Defines technology components, platforms, and infrastructure services enabling the solution.","TOGAF 10 | ADM Phase D: Technology Architecture - Defines technology components, platforms, and infrastructure services enabling the solution."
TOGAF,10,Architecture Repository,"Central store containing reference models, standards, and reusable building blocks.","TOGAF 10 | Architecture Repository - Central store containing reference models, standards, and reusable building blocks."
TOGAF,10,Architecture Requirements Specification,"Contractual document describing quantitative requirements, constraints, and acceptance criteria.","TOGAF 10 | Architecture Requirements Specification - Contractual document describing quantitative requirements, constraints, and acceptance criteria."
Zachman,3.0,Row 1 / Scope (Planner),"Defines the contextual scope of the enterprise using high-level lists of things, processes, locations, people, timing, and motivations.","Zachman 3.0 | Row 1 / Scope (Planner) - Defines the contextual scope of the enterprise using high-level lists of things, processes, locations, people, timing, and motivations."
Zachman,3.0,Row 2 / Business Concepts (Owner),"Captures conceptual business entities, process models, logistics, organization charts, master schedules, and business plans.","Zachman 3.0 | Row 2 / Business Concepts (Owner) - Captures conceptual business entities, process models, logistics, organization charts, master schedules, and business plans."
Zachman,3.0,Row 3 / System Logic (Designer),"Expresses logical data models, application architectures, distributed systems topologies, human roles, timing cycles, and business rules.","Zachman 3.0 | Row 3 / System Logic (Designer) - Expresses logical data models, application architectures, distributed systems topologies, human roles, timing cycles, and business rules."
Zachman,3.0,Row 4 / Technology Physics (Builder),"Translates logical models into physical data structures, program specs, network configurations, job roles, timing controls, and rule implementations.","Zachman 3.0 | Row 4 / Technology Physics (Builder) - Translates logical models into physical data structures, program specs, network configurations, job roles, timing controls, and rule implementations."
Zachman,3.0,Row 5 / Component Assemblies (Subcontractor),"Describes detailed component definitions, program code, hardware racks, work instructions, timing interrupts, and executable rule sets.","Zachman 3.0 | Row 5 / Component Assemblies (Subcontractor) - Describes detailed component definitions, program code, hardware racks, work instructions, timing interrupts, and executable rule sets."
Zachman,3.0,Row 6 / Operations (Enterprise),"Represents the working enterprise with live data, executing processes, physical locations, staff assignments, schedules, and governance policies.","Zachman 3.0 | Row 6 / Operations (Enterprise) - Represents the working enterprise with live data, executing processes, physical locations, staff assignments, schedules, and governance policies."
FEAF,2.3,Performance Reference Model,Defines outcome-focused performance indicators and linkages to strategic objectives for US Federal programs.,FEAF 2.3 | Performance Reference Model - Defines outcome-focused performance indicators and linkages to strategic objectives for US Federal programs.
FEAF,2.3,Business Reference Model,Categorizes Federal services and lines of business to promote collaboration and reuse.,FEAF 2.3 | Business Reference Model - Categorizes Federal services and lines of business to promote collaboration and reuse.
FEAF,2.3,Service Component Reference Model,Inventories service components and patterns that agencies can reuse when digitizing services.,FEAF 2.3 | Service Component Reference Model - Inventories service components and patterns that agencies can reuse when digitizing services.
FEAF,2.3,Data Reference Model,"Describes data sharing principles, standard vocabularies, and authoritative data sources.","FEAF 2.3 | Data Reference Model - Describes data sharing principles, standard vocabularies, and authoritative data sources."
FEAF,2.3,Technical Reference Model,"Enumerates standards, specifications, and technologies supporting service components.","FEAF 2.3 | Technical Reference Model - Enumerates standards, specifications, and technologies supporting service components."
NIST CPS AF,1.0,Conceptual Viewpoint,"Explains stakeholder concerns, use cases, and high-level CPS objectives independent of implementation.","NIST CPS AF 1.0 | Conceptual Viewpoint - Explains stakeholder concerns, use cases, and high-level CPS objectives independent of implementation."
NIST CPS AF,1.0,Functional Viewpoint,"Breaks down CPS functional elements, control loops, and interactions among cyber and physical processes.","NIST CPS AF 1.0 | Functional Viewpoint - Breaks down CPS functional elements, control loops, and interactions among cyber and physical processes."
NIST CPS AF,1.0,Physical Viewpoint,"Describes hardware platforms, sensors, actuators, and communication assets realizing the CPS functions.","NIST CPS AF 1.0 | Physical Viewpoint - Describes hardware platforms, sensors, actuators, and communication assets realizing the CPS functions."
NIST CPS AF,1.0,Business Viewpoint,"Captures policies, regulatory obligations, and enterprise risk considerations for CPS deployments.","NIST CPS AF 1.0 | Business Viewpoint - Captures policies, regulatory obligations, and enterprise risk considerations for CPS deployments."
NIST CPS AF,1.0,Crosscutting Concerns Viewpoint,"Addresses safety, security, privacy, and reliability attributes that span all other viewpoints.","NIST CPS AF 1.0 | Crosscutting Concerns Viewpoint - Addresses safety, security, privacy, and reliability attributes that span all other viewpoints."
ArchiMate,3.2,Strategy Layer,"Contains capabilities, resources, and outcomes that drive change initiatives in ArchiMate models.","ArchiMate 3.2 | Strategy Layer - Contains capabilities, resources, and outcomes that drive change initiatives in ArchiMate models."
ArchiMate,3.2,Business Layer,"Models business services, processes, actors, and value streams delivered to customers.","ArchiMate 3.2 | Business Layer - Models business services, processes, actors, and value streams delivered to customers."
ArchiMate,3.2,Application Layer,"Shows application components, services, and data access supporting business processes.","ArchiMate 3.2 | Application Layer - Shows application components, services, and data access supporting business processes."
ArchiMate,3.2,Technology Layer,"Depicts technology services, nodes, devices, system software, and communication paths.","ArchiMate 3.2 | Technology Layer - Depicts technology services, nodes, devices, system software, and communication paths."
ArchiMate,3.2,Implementation & Migration Layer,"Covers work packages, deliverables, and plateaus that orchestrate transformation.","ArchiMate 3.2 | Implementation & Migration Layer - Covers work packages, deliverables, and plateaus that orchestrate transformation."
ArchiMate,3.2,Motivation Extension,"Adds drivers, assessments, and requirements that justify architecture decisions.","ArchiMate 3.2 | Motivation Extension - Adds drivers, assessments, and requirements that justify architecture decisions."
